,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
6721,521662.09,Items for litigation,1995-07-07
6722,537071.54,Items for litigation,1995-07-11
6723,537840.65,Items for litigation,1996-02-09
6724,342070.06,Items for litigation,1996-12-12
6725,342072.85,Items for litigation,1997-01-15
6726,717013.26,Items for litigation,2000-01-25
6727,500880.83,Items for litigation,2000-08-14
6728,826129.37,Items for litigation,2001-02-21
6729,2096352.01,Items for litigation,2002-08-15
6730,781151.83,Items for litigation,2002-10-07
6731,927216.15,Items for litigation,2003-03-25
6732,658366.89,Items for litigation,2001-05-22
6733,1710335.39,Items for litigation,2002-03-08
6734,594767.66,Items for litigation,2005-12-21
6735,105309.66,Items for litigation,2006-01-31
6736,349998.39,Items for litigation,1994-12-23
6737,1047778.87,Items for litigation,2006-12-28
6738,699999.27,Current,2007-05-30
6739,668640.0,Items for litigation,2007-10-31
6740,2247388.25,Items for litigation,2007-11-15
6741,1368131.56,Current,2008-09-03
6742,1379200.76,Amortization Past Due,2008-09-24
6743,5199999.19,Current,2008-12-08
6744,2000000.53,Amortization Past Due,2008-12-11
6745,676576.33,Current,2009-03-30
6746,2447826.84,Current,2009-03-30
6747,3041281.56,Amortization Past Due,2009-04-30
6748,14811776.86,Current,2009-05-06
6749,1923441.39,Current,2009-09-17
6750,8337630.92,Current,2010-02-03
6751,1972431.91,Current,2010-04-13
6752,1093656.84,Principal Past Due,2010-05-06
6753,10000000.0,Current,2010-05-14
6754,3079719.99,Current,2010-06-25
6755,1371539.56,Items for litigation,2010-08-10
6756,1600000.42,Amortization Past Due,2010-08-25
6757,1799999.69,Current,2010-09-13
6758,2423104.97,Current,2010-09-16
6759,1379459.88,Items for litigation,2010-12-30
6760,685440.67,Items for litigation,2011-05-18
6761,1274487.32,Current,2011-08-12
6762,2357725.21,Current,2011-08-19
6763,7575184.21,Current,2011-12-02
6764,1091999.67,Items for litigation,2011-12-19
6765,2121268.64,Current,2012-02-03
6766,1611001.48,Current,2012-02-28
6767,635447.16,Principal Past Due,2012-02-28
6768,4347654.66,Current,2012-03-15
6769,543457.42,Principal Past Due,2012-03-16
6770,1591580.82,Current,2012-04-11
6771,7300000.74,Current,2012-07-25
6772,3499999.26,Current,2012-07-26
6773,612109.56,Amortization Past Due,2012-08-31
6774,661001.53,Items for litigation,2012-11-19
6775,1577016.38,Current,2013-01-09
6776,4992000.25,Amortization Past Due,2013-01-25
6777,2000000.43,Current,2013-02-08
6778,500000.39,Items for litigation,2013-03-15
6779,419219.79,Items for litigation,2013-03-27
6780,1020001.46,Items for litigation,2013-04-01
6781,639199.73,Items for litigation,2013-05-27
6782,3492466.88,Principal Past Due,2013-06-03
6783,2000000.22,Current,2013-07-24
6784,749999.28,Items for litigation,2013-09-05
6785,4581903.44,Current,2013-09-06
6786,572738.49,Current,2013-09-06
6787,460000.2,Items for litigation,2013-09-19
6788,1392655.48,Current,2013-09-30
6789,1226499.26,Current,2013-11-22
6790,7211236.16,Amortization Past Due,2013-11-29
6791,1359999.04,Current,2013-12-11
6792,1789998.0,Amortization Past Due,2013-12-11
6793,919198.13,Items for litigation,2014-01-10
6794,2041805.7,Current,2014-01-16
6795,2066865.26,Current,2014-02-06
6796,4543998.03,Current,2014-02-10
6797,1500000.27,Current,2014-02-20
6798,3761163.44,Current,2014-02-21
6799,389999.96,Items for litigation,2014-03-12
6800,3299998.8,Current,2014-03-21
6801,2506599.34,Current,2014-04-01
6802,1271616.33,Amortization Past Due,2014-03-17
6803,2821161.14,Current,2014-04-30
6804,2063998.7,Amortization Past Due,2014-05-05
6805,1553432.36,Current,2014-05-29
6806,4310749.93,Current,2014-06-19
6807,2365720.76,Current,2014-06-25
6808,5085991.02,Current,2014-06-27
6809,635747.84,Current,2014-06-30
6810,1699999.35,Amortization Past Due,2014-06-30
6811,1195999.79,Items for litigation,2014-07-30
6812,697000.01,Current,2014-08-04
6813,828000.33,Current,2014-09-25
6814,1438399.1,Current,2014-09-29
6815,462399.92,Items for litigation,2014-09-30
6816,4571605.63,Amortization Past Due,2014-09-30
6817,3928151.59,Current,2014-08-27
6818,2799999.13,Current,2014-11-05
6819,2299999.27,Current,2014-11-27
6820,4120527.76,Current,2015-01-12
6821,5136621.1,Current,2015-01-22
6822,1967431.19,Current,2015-01-28
6823,5999999.7,Current,2015-03-12
6824,2662450.86,Current,2015-03-26
6825,2513345.56,Amortization Past Due,2015-03-26
6826,1118843.88,Principal Past Due,2015-03-31
6827,538400.56,Items for litigation,2015-04-22
6828,7275400.16,Amortization Past Due,2015-04-24
6829,5234935.0,Current,2015-04-30
6830,1065066.42,Current,2015-05-04
6831,1809278.3,Current,2015-05-04
6832,421269.88,Current,2015-05-06
6833,661299.37,Items for litigation,2015-05-29
6834,485056.26,Amortization Past Due,2015-05-29
6835,1877998.85,Current,2015-06-26
6836,1930696.16,Amortization Past Due,2015-06-29
6837,1999998.87,Current,2015-07-21
6838,1163079.78,Current,2015-07-28
6839,908737.2,Current,2015-07-29
6840,4752227.23,Current,2015-07-29
6841,1452989.79,Current,2015-08-17
6842,2516992.98,Amortization Past Due,2015-08-20
6843,1763862.4,Current,2015-09-11
6844,614919.75,Principal Past Due,2015-09-14
6845,2160000.22,Current,2015-09-23
6846,2499998.75,Current,2015-09-29
6847,1500001.27,Items for litigation,2015-10-16
6848,2363998.45,Current,2015-10-27
6849,1136001.3,Current,2015-10-27
6850,3550957.86,Current,2015-10-30
6851,449041.49,Current,2015-10-30
6852,2061820.69,Current,2015-11-11
6853,257703.75,Current,2015-11-11
6854,2267200.49,Current,2015-11-16
6855,1750000.08,Current,2015-11-27
6856,1188599.18,Amortization Past Due,2015-12-18
6857,2017469.13,Current,2015-12-21
6858,2768610.31,Current,2015-12-28
6859,1740325.7,Current,2016-01-06
6860,217540.13,Current,2016-01-06
6861,1800000.42,Current,2016-01-20
6862,815281.16,Current,2016-01-21
6863,101910.87,Current,2016-01-21
6864,2070001.16,Current,2016-01-26
6865,1745860.62,Current,2016-01-29
6866,213369.34,Current,2016-01-29
6867,1356568.64,Current,2016-01-15
6868,2120591.88,Current,2016-03-08
6869,3813708.75,Current,2016-03-14
6870,2983867.34,Current,2016-03-16
6871,5188151.04,Current,2016-03-18
6872,1980000.77,Current,2016-03-29
6873,666400.55,Principal Past Due,2016-03-31
6874,460000.6,Items for litigation,2016-04-04
6875,2533525.18,Current,2016-04-11
6876,1656161.04,Amortization Past Due,2016-04-22
6877,2974362.72,Amortization Past Due,2016-05-24
6878,4000001.14,Amortization Past Due,2016-05-26
6879,598401.5,Principal Past Due,2016-05-30
6880,4689530.75,Current,2016-06-01
6881,3859334.96,Amortization Past Due,2016-06-03
6882,1999999.71,Current,2016-06-09
6883,5696801.17,Current,2016-06-30
6884,4563899.93,Current,2016-06-30
6885,2999999.84,Current,2016-07-01
6886,841600.05,Current,2016-07-01
6887,3000000.33,Items for litigation,2016-07-29
6888,2580002.09,Current,2016-08-12
6889,3042151.9,Current,2016-08-31
6890,2233087.48,Current,2016-09-14
6891,2739985.35,Amortization Past Due,2016-09-28
6892,2000001.33,Current,2016-10-13
6893,1159609.15,Current,2016-10-14
6894,2908726.42,Current,2016-10-28
6895,1883286.76,Current,2016-11-04
6896,1877999.15,Current,2016-11-10
6897,1719951.61,Current,2016-11-11
6898,1592305.49,Amortization Past Due,2016-11-29
6899,1760000.79,Principal Past Due,2016-12-23
6900,786999.74,Current,2017-01-12
6901,7123528.96,Current,2017-01-19
6902,999999.17,Amortization Past Due,2017-01-27
6903,1984566.89,Current,2017-02-28
6904,2499998.68,Amortization Past Due,2017-03-20
6905,1772392.38,Current,2017-05-03
6906,2718202.68,Current,2017-05-18
6907,999999.69,Current,2017-05-24
6908,5799600.06,Current,2017-07-11
6909,3712711.98,Current,2017-07-20
6910,2430958.3,Current,2017-07-31
6911,12999999.74,Current,2017-08-25
6912,600000.11,Principal Past Due,2017-08-30
6913,999998.67,Current,2017-10-06
6914,3543445.31,Current,2017-10-27
6915,2836944.4,Current,2017-11-06
6916,3491309.37,Current,2017-11-23
6917,5804896.29,Current,2017-11-29
6918,3238264.36,Current,2018-01-22
6919,3116242.82,Current,2018-01-31
6920,3999997.71,Current,2018-01-31
6921,1499999.63,Current,2018-02-01
6922,2524802.28,Current,2018-03-09
6923,6675354.92,Current,2018-03-27
6924,3176572.5,Current,2018-05-22
6925,4499999.35,Current,2018-05-24
6926,2019598.99,Current,2018-05-31
6927,647639.36,Current,2018-06-26
6928,1699999.0,Current,2018-06-18
6929,3010821.81,Current,2018-06-28
6930,4612396.14,Current,2018-06-28
6931,2368381.57,Current,2018-07-16
6932,10240000.21,Current,2018-07-25
6933,2361565.69,Current,2018-07-31
6934,2163468.96,Current,2018-08-13
6935,1736800.97,Principal Past Due,2018-08-13
6936,6999999.92,Current,2018-08-31
6937,3031586.74,Current,2018-09-11
6938,3942971.26,Current,2018-09-25
6939,13464560.0,Current,2018-09-28
6940,1286400.06,Amortization Past Due,2018-10-05
6941,501899.84,Current,2018-10-12
6942,7799998.24,Current,2018-11-05
6943,1010651.4,Current,2018-11-19
6944,1132600.81,Current,2018-11-19
6945,332998.5,Current,2018-11-27
6946,2900253.12,Current,2018-11-29
6947,558399.19,Current,2018-11-29
6948,3069293.02,Current,2018-11-29
6949,5708625.07,Current,2018-11-29
6950,539198.79,Current,2018-12-05
6951,4265999.45,Current,2018-12-18
6952,3214680.39,Current,2018-12-19
6953,1599999.86,Current,2018-12-27
6954,1499999.0,Current,2018-12-27
6955,708001.63,Current,2019-01-03
6956,2368556.51,Current,2019-01-03
6957,12063006.04,Current,2019-01-04
6958,1862731.61,Current,2019-01-04
6959,989401.06,Current,2019-01-07
6960,10000000.07,Current,2019-01-11
6961,1237496.39,Current,2019-01-14
6962,865212.91,Current,2019-01-16
6963,1024000.48,Current,2019-01-24
6964,1941428.34,Amortization Past Due,2019-01-31
6965,642199.64,Amortization Past Due,2019-01-31
6966,1375199.8,Current,2019-01-31
6967,918399.48,Current,2019-02-08
6968,622671.11,Current,2019-02-11
6969,822400.03,Current,2019-02-15
6970,737799.44,Current,2019-02-26
6971,829000.75,Current,2019-02-26
6972,796000.01,Current,2019-02-27
6973,1555065.36,Current,2019-02-28
6974,1736496.41,Current,2019-03-01
6975,10310000.13,Current,2019-03-01
6976,450001.34,Current,2019-03-07
6977,3827302.96,Current,2019-03-12
6978,887999.69,Current,2019-03-14
6979,1003199.19,Current,2019-03-14
6980,1007199.51,Current,2019-03-22
6981,10521770.65,Current,2019-03-28
6982,904799.81,Current,2019-04-03
6983,2763164.22,Current,2019-04-25
6984,816000.26,Current,2019-04-29
6985,790399.73,Current,2019-05-02
6986,599250.16,Current,2019-05-08
6987,1339598.55,Items for litigation,2019-05-17
6988,1477298.38,Current,2019-05-17
6989,5381811.56,Principal Past Due,2019-03-27
6990,1000002.13,Current,2019-05-23
6991,910401.6,Current,2019-05-23
6992,568832.17,Current,2019-05-30
6993,1106699.97,Current,2019-06-07
6994,639200.05,Current,2019-06-18
6995,2329939.05,Current,2019-06-20
6996,2973998.98,Current,2019-06-21
6997,670400.89,Current,2019-06-21
6998,2306143.68,Current,2019-06-24
6999,3150000.71,Current,2019-06-28
7000,954001.02,Amortization Past Due,2019-06-28
7001,559001.31,Current,2019-07-02
7002,918001.32,Current,2019-07-11
7003,799112.62,Amortization Past Due,2019-07-29
7004,2364556.97,Amortization Past Due,2019-07-30
7005,725601.27,Current,2019-07-30
7006,5598151.43,Amortization Past Due,2019-07-31
7007,500000.05,Current,2019-08-01
7008,1415199.2,Current,2019-08-05
7009,943200.04,Current,2019-08-08
7010,1749999.81,Current,2019-08-19
7011,799112.0,Items for litigation,2019-08-19
7012,1139000.57,Current,2019-08-22
7013,1220000.95,Current,2019-08-23
7014,2836556.6,Current,2019-08-29
7015,4372434.62,Principal Past Due,2019-08-30
7016,1310001.33,Current,2019-09-06
7017,2136629.31,Current,2019-09-16
7018,1397999.46,Current,2019-09-17
7019,627300.17,Current,2019-09-20
7020,4421747.54,Current,2019-09-26
7021,860000.37,Current,2019-10-01
7022,950399.65,Items for litigation,2019-10-10
7023,1999999.86,Amortization Past Due,2019-10-14
7024,4999999.79,Current,2019-10-16
7025,627999.75,Current,2019-10-16
7026,567999.59,Current,2019-10-22
7027,4727024.93,Current,2019-10-23
7028,4152310.4,Principal Past Due,2019-09-25
7029,813299.93,Principal Past Due,2019-09-25
7030,3538941.17,Principal Past Due,2019-09-25
7031,3619115.25,Principal Past Due,2019-09-25
7032,3453669.0,Principal Past Due,2019-09-25
7033,670501.27,Principal Past Due,2019-09-25
7034,670500.42,Principal Past Due,2019-09-25
7035,1252001.09,Current,2019-10-30
7036,4999999.89,Current,2019-10-31
7037,4652113.33,Current,2019-10-31
7038,1273501.17,Current,2019-10-31
7039,32480494.19,Current,2019-09-25
7040,796999.82,Current,2019-11-06
7041,658399.77,Current,2019-11-11
7042,2316588.73,Current,2019-11-19
7043,318943.1,Current,2019-11-20
7044,2048400.45,Current,2019-11-26
7045,568000.92,Current,2019-11-28
7046,996000.61,Current,2019-11-28
7047,876001.65,Current,2019-12-03
7048,13000001.56,Current,2019-12-03
7049,1499999.66,Current,2019-11-29
7050,2559360.32,Current,2019-11-29
7051,1419999.6,Current,2019-12-16
7052,744599.13,Amortization Past Due,2019-12-19
7053,738999.94,Current,2019-12-26
7054,3664776.6,Current,2019-12-26
7055,1779999.48,Current,2020-01-08
7056,672799.69,Current,2020-01-08
7057,678398.19,Current,2020-01-10
7058,1079999.43,Current,2020-01-16
7059,718399.67,Current,2020-01-22
7060,878402.13,Principal Past Due,2020-01-30
7061,770000.83,Current,2020-01-31
7062,701998.22,Current,2020-02-07
7063,868956.0,Current,2020-02-10
7064,627998.57,Current,2020-02-10
7065,1010100.79,Current,2020-02-12
7066,680799.08,Current,2020-02-12
7067,638399.92,Current,2020-02-14
7068,4499999.01,Current,2020-02-17
7069,1275998.18,Current,2020-02-18
7070,974101.2,Current,2020-02-26
7071,1114398.63,Current,2020-02-27
7072,5959901.16,Current,2020-02-28
7073,3078102.78,Current,2020-03-11
7074,3210754.67,Current,2020-04-15
7075,5600443.78,Current,2020-05-20
7076,748999.95,Current,2020-05-29
7077,1509600.39,Current,2020-06-01
7078,536352.13,Amortization Past Due,2020-06-02
7079,5067584.66,Current,2020-06-29
7080,806000.95,Current,2020-06-30
7081,3251688.59,Current,2020-07-01
7082,4433109.87,Current,2020-07-17
7083,902400.11,Current,2020-08-04
7084,959997.93,Current,2020-08-05
7085,560054.47,Current,2020-08-10
7086,1033263.2,Current,2020-08-11
7087,615999.85,Current,2020-08-13
7088,388799.23,Current,2020-08-20
7089,950400.18,Current,2020-08-25
7090,548000.73,Current,2020-08-25
7091,922399.19,Current,2020-08-28
7092,3200000.26,Current,2020-09-03
7093,443998.86,Current,2020-09-04
7094,587910.86,Current,2020-09-15
7095,6761089.91,Principal Past Due,2020-08-14
7096,704798.83,Current,2020-09-25
7097,915788.63,Principal Past Due,2020-09-09
7098,14729395.49,Principal Past Due,2020-08-14
7099,6789442.04,Principal Past Due,2020-08-14
7100,13679655.07,Principal Past Due,2020-08-14
7101,936000.7,Amortization Past Due,2020-09-29
7102,6520892.85,Principal Past Due,2020-08-14
7103,3852316.4,Amortization Past Due,2020-08-14
7104,6072251.63,Current,2020-09-09
7105,2915545.46,Current,2020-09-30
7106,450101.12,Current,2020-09-09
7107,456999.96,Current,2020-09-09
7108,871999.08,Current,2020-10-05
7109,13732164.33,Amortization Past Due,2020-08-14
7110,9399927.62,Current,2020-09-09
7111,781149.95,Current,2020-10-07
7112,3153482.22,Current,2020-09-09
7113,986242.03,Current,2020-09-09
7114,7761030.82,Current,2020-09-09
7115,1122001.21,Items for litigation,2020-10-13
7116,794399.27,Current,2020-10-20
7117,1574998.43,Current,2020-10-26
7118,1055999.72,Current,2020-10-29
7119,3725718.14,Current,2020-11-04
7120,1598401.05,Principal Past Due,2020-11-09
7121,510401.53,Current,2020-11-16
7122,592449.62,Items for litigation,2020-11-17
7123,1052800.65,Current,2020-11-20
7124,3440001.2,Current,2020-11-23
7125,3255840.1,Current,2020-11-27
7126,948001.08,Current,2020-11-27
7127,2246535.03,Current,2020-12-01
7128,722399.6,Current,2020-12-01
7129,1294999.97,Current,2020-12-02
7130,1769597.67,Current,2020-12-04
7131,702398.83,Current,2020-12-07
7132,794501.6,Amortization Past Due,2020-12-14
7133,1436002.22,Current,2020-12-14
7134,857499.94,Amortization Past Due,2020-12-15
7135,614598.01,Current,2020-12-16
7136,27585558.64,Current,2020-12-09
7137,798399.94,Current,2020-12-17
7138,8200988.31,Amortization Past Due,2020-12-09
7139,7275001.29,Current,2020-12-22
7140,2500000.18,Current,2020-12-28
7141,1883200.3,Current,2020-12-29
7142,521331.62,Current,2020-12-29
7143,4538701.65,Current,2021-01-06
7144,1004002.11,Current,2021-01-06
7145,610400.94,Current,2021-01-07
7146,732998.43,Current,2021-01-07
7147,1052001.1,Current,2021-01-11
7148,783999.19,Current,2021-01-21
7149,1889998.76,Current,2021-01-22
7150,2965801.2,Current,2021-01-25
7151,700999.03,Current,2021-01-25
7152,3498509.11,Current,2021-01-26
7153,856800.69,Current,2021-01-28
7154,880000.59,Current,2021-01-29
7155,1602199.23,Current,2021-01-29
7156,1500000.76,Current,2021-01-29
7157,2287499.1,Current,2021-02-01
7158,667998.91,Current,2021-02-09
7159,779999.57,Current,2021-02-16
7160,1172149.34,Current,2021-02-17
7161,1164001.17,Current,2021-02-19
7162,739175.95,Current,2021-02-19
7163,4814794.48,Current,2021-02-24
7164,2432000.05,Current,2021-02-26
7165,798400.59,Current,2021-03-03
7166,366101.17,Current,2021-03-08
7167,947998.96,Current,2021-03-12
7168,3127321.29,Current,2021-03-12
7169,990400.81,Current,2021-03-18
7170,619499.56,Current,2021-03-23
7171,8245000.66,Current,2021-03-26
7172,1036798.1,Current,2021-03-26
7173,926098.78,Current,2021-03-26
7174,4139495.71,Current,2021-03-29
7175,858400.36,Current,2021-04-05
7176,487575.87,Current,2021-04-07
7177,3020218.04,Principal Past Due,2021-03-24
7178,733200.23,Current,2021-04-14
7179,686398.64,Current,2021-04-16
7180,799109.82,Current,2021-04-16
7181,618000.62,Current,2021-04-20
7182,3500000.86,Current,2021-04-23
7183,1039999.43,Current,2021-04-30
7184,1484001.87,Current,2021-04-30
7185,487577.98,Current,2021-05-03
7186,531001.95,Principal Past Due,2021-05-03
7187,655201.77,Current,2021-05-12
7188,5977000.28,Current,2021-05-18
7189,757410.7,Current,2021-05-18
7190,713599.33,Current,2021-05-27
7191,549501.32,Current,2021-05-27
7192,10200000.42,Current,2021-05-31
7193,948499.08,Current,2021-06-09
7194,1515200.05,Current,2021-06-10
7195,832222.95,Current,2021-06-11
7196,561848.55,Current,2021-06-15
7197,723350.58,Current,2021-06-15
7198,627041.18,Current,2021-06-15
7199,627039.41,Current,2021-06-15
7200,6807887.65,Current,2021-06-15
7201,1212562.74,Current,2021-06-15
7202,4980263.22,Current,2021-06-15
7203,1512075.66,Current,2021-06-15
7204,2429268.43,Principal Past Due,2021-06-15
7205,1189999.93,Current,2021-06-15
7206,556500.29,Current,2021-06-24
7207,4526893.91,Current,2021-06-15
7208,418398.04,Current,2021-06-25
7209,418950.37,Amortization Past Due,2021-06-29
7210,8958489.27,Current,2021-06-24
7211,24670222.48,Current,2021-06-24
7212,21438885.46,Principal Past Due,2021-06-24
7213,8722755.26,Current,2021-06-24
7214,8957478.42,Current,2021-06-24
7215,1014375.47,Current,2021-07-12
7216,1000000.03,Current,2021-07-16
7217,925773.58,Current,2021-07-29
7218,900000.01,Current,2021-07-30
7219,3595999.72,Current,2021-08-03
7220,638251.93,Current,2021-08-11
7221,7284710.6,Current,2021-08-16
7222,5395535.72,Current,2021-08-16
7223,1464549.31,Amortization Past Due,2021-08-18
7224,2119999.01,Current,2021-08-18
7225,681000.53,Current,2021-08-19
7226,2765816.35,Current,2021-08-27
7227,698000.05,Current,2021-08-31
7228,898799.13,Current,2021-09-06
7229,1499999.7,Current,2021-09-07
7230,1599110.96,Amortization Past Due,2021-09-10
7231,620000.48,Current,2021-09-13
7232,2999999.17,Current,2021-09-27
7233,713599.55,Current,2021-09-29
7234,862400.84,Current,2021-09-29
7235,5612122.34,Current,2021-09-21
7236,935199.85,Current,2021-10-06
7237,1598400.42,Current,2021-10-07
7238,640801.85,Current,2021-10-11
7239,3339773.96,Current,2021-09-21
7240,956248.05,Current,2021-10-14
7241,1403999.89,Current,2021-10-20
7242,979649.85,Current,2021-10-20
7243,1787249.58,Current,2021-10-21
7244,7349003.69,Current,2021-10-22
7245,975600.92,Amortization Past Due,2021-10-28
7246,902399.55,Current,2021-10-29
7247,680801.54,Amortization Past Due,2021-10-29
7248,3039999.61,Current,2021-10-29
7249,2924112.85,Current,2021-11-05
7250,585000.45,Current,2021-11-05
7251,418398.37,Current,2021-11-09
7252,1699999.42,Current,2021-11-11
7253,798399.42,Current,2021-11-12
7254,1787919.72,Current,2021-11-18
7255,7124999.76,Current,2021-11-18
7256,2247808.46,Current,2021-11-23
7257,3000000.26,Current,2021-11-23
7258,6265501.92,Current,2021-11-24
7259,2699999.33,Current,2021-11-24
7260,4089601.74,Current,2021-11-29
7261,950400.03,Current,2021-11-29
7262,1152000.74,Current,2021-11-29
7263,549498.06,Current,2021-11-29
7264,2734386.6,Current,2021-12-02
7265,3851656.6,Current,2021-12-03
7266,723350.38,Items for litigation,2021-12-07
7267,1895499.71,Current,2021-12-09
7268,588000.46,Current,2021-12-10
7269,4999999.49,Current,2021-12-13
7270,789599.96,Current,2021-12-13
7271,460600.26,Current,2021-12-17
7272,1680000.14,Current,2021-12-20
7273,798399.81,Current,2021-12-20
7274,11999999.11,Current,2021-12-21
7275,520799.52,Current,2021-12-21
7276,1201415.27,Current,2021-12-24
7277,1040000.47,Amortization Past Due,2021-12-27
7278,894399.44,Amortization Past Due,2021-12-27
7279,387998.9,Current,2021-12-28
7280,543198.7,Current,2021-12-28
7281,559301.39,Current,2021-12-29
7282,6999999.16,Current,2022-01-07
7283,1541913.35,Current,2022-01-11
7284,1241850.29,Current,2022-01-14
7285,1151750.67,Current,2022-01-17
7286,2033791.9,Amortization Past Due,2022-01-26
7287,608798.55,Current,2022-01-26
7288,608800.25,Current,2022-01-26
7289,608799.67,Current,2022-01-26
7290,3579518.14,Current,2022-01-27
7291,1049000.83,Current,2022-01-27
7292,2325601.1,Current,2022-01-28
7293,12211584.03,Current,2022-01-28
7294,993749.53,Amortization Past Due,2022-01-28
7295,819499.42,Current,2022-01-31
7296,561848.82,Current,2022-02-02
7297,509000.0,Current,2022-02-04
7298,735000.47,Current,2022-02-04
7299,597099.62,Current,2022-02-07
7300,575109.45,Current,2022-02-17
7301,3586320.8,Current,2022-02-21
7302,680800.38,Amortization Past Due,2022-02-21
7303,852549.42,Current,2022-02-23
7304,334560.36,Current,2022-02-23
7305,1195999.55,Current,2022-03-07
7306,598801.31,Current,2022-03-07
7307,638248.16,Current,2022-03-10
7308,3977792.59,Current,2022-03-17
7309,2040549.6,Current,2022-03-18
7310,1034249.98,Current,2022-03-22
7311,2046486.35,Current,2022-03-23
7312,526400.8,Current,2022-03-23
7313,862400.43,Current,2022-03-23
7314,3696359.93,Current,2022-03-24
7315,718001.9,Current,2022-03-24
7316,1036000.75,Current,2022-03-29
7317,12441599.85,Current,2022-03-29
7318,3648662.79,Current,2022-03-31
7319,34999998.99,Current,2022-03-31
7320,6000001.78,Current,2022-03-31
7321,2406965.38,Current,2022-03-31
7322,757499.67,Current,2022-03-31
7323,2638906.05,Current,2022-03-31
7324,1404671.44,Current,2022-03-31
7325,1016799.79,Current,2022-03-31
7326,1510400.21,Current,2022-03-31
7327,263200.74,Current,2022-04-01
7328,699219.8,Current,2022-04-01
7329,587188.67,Current,2022-04-04
7330,1959998.68,Current,2022-04-06
7331,602400.93,Current,2022-04-06
7332,561851.2,Current,2022-04-07
7333,499999.12,Current,2022-04-12
7334,907497.97,Current,2022-04-18
7335,1871198.76,Current,2022-04-18
7336,5569044.51,Current,2022-04-20
7337,650000.06,Current,2022-04-20
7338,796600.37,Current,2022-04-20
7339,971999.03,Current,2022-04-22
7340,13681851.97,Current,2022-04-28
7341,4276125.32,Current,2022-04-29
7342,975099.4,Current,2022-05-04
7343,798398.4,Current,2022-05-04
7344,938049.96,Current,2022-05-10
7345,4565144.15,Current,2022-05-13
7346,935001.21,Current,2022-05-16
7347,650398.98,Current,2022-05-19
7348,1003998.85,Current,2022-05-24
7349,680799.7,Amortization Past Due,2022-05-24
7350,529549.41,Current,2022-05-26
7351,1638398.62,Current,2022-05-26
7352,577998.61,Current,2022-06-02
7353,3512000.83,Current,2022-06-10
7354,2390402.3,Current,2022-06-10
7355,1988001.55,Current,2022-06-13
7356,-2.44,Current,2022-06-15
7357,519999.49,Current,2022-06-16
7358,1488500.94,Current,2022-06-17
7359,6000000.11,Current,2022-06-20
7360,1048000.43,Amortization Past Due,2022-06-20
7361,689599.14,Current,2022-06-20
7362,6000000.47,Current,2022-06-22
7363,695110.5,Amortization Past Due,2022-06-22
7364,1421249.49,Amortization Past Due,2022-06-23
7365,1055999.28,Current,2022-06-24
7366,1000000.07,Current,2022-06-24
7367,4232257.55,Current,2022-06-27
7368,6927007.61,Current,2022-06-28
7369,2191693.29,Current,2022-06-29
7370,3077500.31,Current,2022-06-29
7371,4999998.93,Current,2022-06-30
7372,2284200.17,Current,2022-06-30
7373,591199.89,Current,2022-06-30
7374,647011.71,Current,2022-07-06
7375,1999998.0,Current,2022-07-08
7376,766400.39,Current,2022-07-12
7377,2172719.06,Current,2022-07-13
7378,13325179.15,Current,2022-07-13
7379,785999.36,Current,2022-07-13
7380,1196001.89,Current,2022-07-14
7381,813519.89,Current,2022-07-18
7382,879998.52,Amortization Past Due,2022-07-19
7383,2499998.74,Current,2022-07-21
7384,2298000.33,Current,2022-07-21
7385,813518.29,Current,2022-07-22
7386,834100.74,Current,2022-07-26
7387,499201.15,Current,2022-07-26
7388,718400.1,Current,2022-07-27
7389,689600.44,Current,2022-07-27
7390,2632242.02,Amortization Past Due,2022-07-25
7391,6499999.91,Current,2022-07-28
7392,984671.36,Current,2022-07-28
7393,5200000.37,Current,2022-07-28
7394,732700.77,Amortization Past Due,2022-07-28
7395,972561.43,Current,2022-07-28
7396,8007157.35,Current,2022-07-29
7397,1704798.34,Current,2022-07-29
7398,1160250.04,Current,2022-07-29
7399,1054397.65,Current,2022-07-29
7400,1106699.1,Current,2022-07-29
7401,4660375.62,Current,2022-08-02
7402,582500.12,Current,2022-08-03
7403,1678655.65,Principal Past Due,2022-08-05
7404,656601.61,Current,2022-08-10
7405,814400.97,Current,2022-08-18
7406,1006400.71,Current,2022-08-19
7407,2000000.33,Current,2022-08-23
7408,3989999.42,Current,2022-08-24
7409,823200.54,Current,2022-08-30
7410,814398.02,Current,2022-08-30
7411,813521.27,Current,2022-08-31
7412,840639.88,Current,2022-09-01
7413,1023999.45,Current,2022-09-01
7414,1251999.48,Current,2022-09-08
7415,592499.45,Current,2022-09-08
7416,1064400.47,Current,2022-09-13
7417,2306592.08,Current,2022-09-14
7418,802402.64,Current,2022-09-16
7419,1019999.37,Current,2022-09-16
7420,7081726.91,Current,2022-09-19
7421,8699999.0,Current,2022-09-21
7422,1755201.29,Current,2022-09-21
7423,1326260.08,Current,2022-09-28
7424,1757000.32,Current,2022-09-28
7425,1419999.0,Current,2022-09-28
7426,7000002.15,Current,2022-09-29
7427,887999.41,Current,2022-09-29
7428,650001.0,Amortization Past Due,2022-09-29
7429,699998.8,Current,2022-09-29
7430,666400.56,Amortization Past Due,2022-09-29
7431,3125990.48,Current,2022-09-30
7432,5107657.26,Current,2022-09-30
